"id","away_team","away_score","home_team","home_score","date"
"2","Bryn Mawr","1","Cabrini","2","Thu 09.01"
"3","WI LaCrosse","1","Cal Lutheran","0","Thu 09.01"
"4","Calvin","2","Heidelberg","0","Thu 09.01"
"5","Capital","2","Case Western","4","Thu 09.01"
"6","Carthage","1","IL Tech","2","Thu 09.01"
"7","Oswego St","7","Cazenovia","0","Thu 09.01"
"8","Immaculata","2","Cedar Crest","5","Thu 09.01"
"9","Centenary","0","E Texas Bap","2","Thu 09.01"
"10","Wm Paterson","2","Centenary NJ","2","Thu 09.01"
"11","Centre","5","Mt St Joseph","1","Thu 09.01"
"12","Mitchell","0","Albertus Magnus","2","Thu 09.01"
"13","Chatham","2","Juniata","1","Thu 09.01"
"14","Albion","3","Manchester","0","Thu 09.01"
"15","Chicago","0","Pomona-Pitzer","3","Thu 09.01"
"16","Colby-Sawyer","2","ME Maritime","2","Thu 09.01"
"17","Brockport St","0","Alfred","1","Thu 09.01"
"18","St Catherine","2","WI Stevens Pt","0","Thu 09.01"
"19","St Mary's IN","1","Concordia IL","1","Thu 09.01"
"20","Concordia TX","2","Houston-Victoria","2","Thu 09.01"
"21","St John Fisher","3","Allegheny","0","Thu 09.01"
"23","Cornell IA","0","Mt Mercy","3","Thu 09.01"
"24","Olivet MI","0","Cornerstone","4","Thu 09.01"
"25","SUNY Delhi","0","Cortland St","8","Thu 09.01"
"26","Covenant","0","Sewanee","1","Thu 09.01"
"27","Curry","4","RI College","1","Thu 09.01"
"28","Alvernia","0","Montclair St","1","Thu 09.01"
"29","Defiance","9","Andrews","0","Thu 09.01"
"30","DePauw","1","Otterbein","1","Thu 09.01"
"31","Neumann","0","DeSales","5","Thu 09.01"
"32","Mt Aloysius","0","Dickinson","6","Thu 09.01"
"33","Elmhurst","0","Dominican IL","6","Thu 09.01"
"34","Drew","5","Manhattanville","1","Thu 09.01"
"35","Earlham","0","Adrian","0","Thu 09.01"
"36","Randolph Col","1","E Mennonite","1","Thu 09.01"
"37","Ursinus","1","Eastern Univ","0","Thu 09.01"
"38","WI Platteville","3","Edgewood","1","Thu 09.01"
"39","Ithaca","3","Elmira","0","Thu 09.01"
"40","Suffolk","0","Elms","0","Thu 09.01"
"41","Regis MA","0","Emerson","5","Thu 09.01"
"42","Fisher","0","Emmanuel MA","3","Thu 09.01"
"44","WI River Falls","3","Finlandia","0","Thu 09.01"
"45","Fitchburg St","3","Dean","0","Thu 09.01"
"46","Roger Williams","2","Framingham St","0","Thu 09.01"
"47","York PA","1","Frank & Marsh","2","Thu 09.01"
"48","Trine","2","Franklin","0","Thu 09.01"
"49","La Roche","2","Geneva","2","Thu 09.01"
"50","George Fox","7","Bushnell","0","Thu 09.01"
"51","Swarthmore","2","Arcadia","1","Thu 09.01"
"52","Gettysburg","0","Goucher","2","Thu 09.01"
"53","Roanoke","2","Greensboro","0","Thu 09.01"
"54","Greenville","0","Washington StL","2","Thu 09.01"
"55","Dubuque","0","Grinnell","0","Thu 09.01"
"56","Grove City","3","Pitt-Greensburg","2","Thu 09.01"
"57","PSU-Abington","7","Gwynedd-Mercy","0","Thu 09.01"
"58","WI Stout","1","Hamline","2","Thu 09.01"
"59","Asbury","0","Hanover","6","Thu 09.01"
"60","St Scholastica","0","Hardin-Simmons","2","Thu 09.01"
"61","St Lawrence","3","Hartwick","1","Thu 09.01"
"62","Keuka","2","Hilbert","2","Thu 09.01"
"63","Mt Union","3","Hiram","1","Thu 09.01"
"65","Hood","2","St Mary's MD","2","Thu 09.01"
"66","Houghton","6","Alfred St","0","Thu 09.01"
"67","Birmingham So","1","Huntingdon","1","Thu 09.01"
"68","Millikin","5","Illinois Col","0","Thu 09.01"
"69","Westminster PA","2","John Carroll","2","Thu 09.01"
"70","Catholic","1","Johns Hopkins","6","Thu 09.01"
"71","J&W RI","1","Babson","3","Thu 09.01"
"72","Kalamazoo","1","Ohio Wesleyan","1","Thu 09.01"
"73","Keene St","0","Bridgewater MA","0","Thu 09.01"
"74","Marywood","7","Keystone","0","Thu 09.01"
"75","King's PA","3","Penn Col Tech","2","Thu 09.01"
"76","Knox","0","Transylvania","2","Thu 09.01"
"77","Whitworth","0","La Verne","3","Thu 09.01"
"78","Lake Forest","4","WI Lutheran","0","Thu 09.01"
"79","Lakeland","12","Mt Mary","0","Thu 09.01"
"80","Waynesburg","0","Lancaster Bib","2","Thu 09.01"
"81","Endicott","3","Lasell","0","Thu 09.01"
"82","Lawrence","0","Concordia WI","3","Thu 09.01"
"83","Lebanon Val","1","Moravian","1","Thu 09.01"
"84","Multnomah Bib","1","Linfield","11","Thu 09.01"
"86","Augsburg","2","WI Superior","1","Thu 09.01"
"87","St Norbert","1","Loras","6","Thu 09.01"
"88","PSU-Altoona","1","Lycoming","3","Thu 09.01"
"89","Augustana IL","2","Central IA","1","Thu 09.01"
"90","Aurora","0","N Central IL","1","Thu 09.01"
"91","Marian WI","0","Beloit","1","Thu 09.01"
"92","Hendrix","1","Austin Col","0","Thu 09.01"
"93","Ferrum","0","Mary Baldwin","1","Thu 09.01"
"94","M Hardin-Baylor","3","WI Whitewater","0","Thu 09.01"
"95","Mary Washington","0","Randolph-Macon","1","Thu 09.01"
"96","Smith","1","MA Boston","1","Thu 09.01"
"97","Averett","1","Pfeiffer","0","Thu 09.01"
"98","McMurry","1","TX Lutheran","1","Thu 09.01"
"99","Messiah","3","Stevens","2","Thu 09.01"
"100","Milwaukee Eng","3","UT Dallas","2","Thu 09.01"
"101","MN Morris","0","St Mary's MN","3","Thu 09.01"
"102","Misericordia","2","Susquehanna","0","Thu 09.01"
"103","Monmouth IL","2","Rockford","1","Thu 09.01"
"104","Summit","2","Wells","2","Thu 09.01"
"105","Vassar","1","Mt St Vincent","2","Thu 09.01"
"107","Mt St Mary NY","0","NYU","9","Thu 09.01"
"108","Muhlenberg","0","Elizabethtown","1","Thu 09.01"
"109","Muskingum","3","Wash & Jeff","3","Thu 09.01"
"110","Anna Maria","0","Bard","1","Thu 09.01"
"111","Mt Marty","1","NE Wesleyan","4","Thu 09.01"
"112","Plymouth St","3","N England Col","1","Thu 09.01"
"113","MA Col Lib Arts","1","Nichols","5","Thu 09.01"
"114","NC Wesleyan","9","Grace Chr","0","Thu 09.01"
"115","Northland","0","Macalester","5","Thu 09.01"
"116","NVU-Johnson","1","Norwich","5","Thu 09.01"
"117","Bluffton","0","Oberlin","5","Thu 09.01"
"118","Widener","1","PSU-Harrisburg","1","Thu 09.01"
"119","Benedictine IL","0","North Park","2","Thu 09.01"
"120","Cairn","0","Delaware Val","1","Thu 09.01"
"121","Piedmont","0","Pac Lutheran","3","Thu 09.01"
"122","Plattsburgh St","2","Castleton","0","Thu 09.01"
"123","FDU Madison","2","Ramapo","1","Thu 09.01"
"124","Emory","5","Berry","0","Thu 09.01"
"125","SUNY Oneonta","2","Rensselaer","0","Thu 09.01"
"126","R Stockton","1","St Joseph's LI","0","Thu 09.01"
"128","WI Oshkosh","15","Ripon","0","Thu 09.01"
"129","Buena Vista","0","Bethany Luth","4","Thu 09.01"
"130","Rose-Hulman","1","Webster","2","Thu 09.01"
"131","PSU-Brandywine","0","Rosemont","4","Thu 09.01"
"132","SUNY New Paltz","3","Russell Sage","0","Thu 09.01"
"133","Wartburg","1","St Olaf","0","Thu 09.01"
"134","Farmingdale","0","Salisbury","1","Thu 09.01"
"135","Marymount VA","0","Shenandoah","2","Thu 09.01"
"136","IL Wesleyan","1","Simpson IA","1","Thu 09.01"
"137","S Maine","2","Clark MA","0","Thu 09.01"
"138","St Thomas TX","2","Howard Payne","1","Thu 09.01"
"139","St Joseph's ME","0","U New England","4","Thu 09.01"
"140","SUNY Potsdam","3","SUNY Canton","0","Thu 09.01"
"141","UC Santa Cruz","5","Pacific Union","0","Thu 09.01"
"142","Rutgers-Newark","0","Union NY","2","Thu 09.01"
"143","Le Tourneau","1","Dallas Univ","3","Thu 09.01"
"144","SUNYIT","0","Utica","6","Thu 09.01"
"145","Brandeis","1","MIT","2","Thu 09.01"
"146","Guilford","5","Brevard","0","Thu 09.01"
"147","Warner Pacific","0","Willamette","4","Thu 09.01"
"149","Lesley","1","Wentworth Tech","2","Thu 09.01"
"150","Wilkes","0","PSU-Berks","2","Thu 09.01"
"151","Ohio Northern","2","Wittenberg","0","Thu 09.01"
