"id","away_team","away_score","home_team","home_score","date"
"2","Linfield","1","Caltech","1","Fri 09.01"
"3","Pac Lutheran","0","Cal Lutheran","0","Fri 09.01"
"4","Capital","1","Calvin","5","Fri 09.01"
"5","Beloit","0","Carroll WI","2","Fri 09.01"
"6","John Carroll","1","Case Western","2","Fri 09.01"
"7","Mt St Joseph","1","Centre","2","Fri 09.01"
"8","Willamette","0","Chapman","2","Fri 09.01"
"9","Milwaukee Eng","2","Albion","0","Fri 09.01"
"10","Fontbonne","0","Chicago","3","Fri 09.01"
"11","Albright","0","Bryn Athyn","2","Fri 09.01"
"12","Chris Newport","3","WI Oshkosh","1","Fri 09.01"
"13","George Fox","0","Claremont M.S.","2","Fri 09.01"
"14","DeSales","0","Clarkson","1","Fri 09.01"
"15","Keene St","1","Colby-Sawyer","1","Fri 09.01"
"16","Alfred","0","Geneseo St","2","Fri 09.01"
"17","WI Stevens Pt","0","St Catherine","2","Fri 09.01"
"18","WI Platteville","3","Concordia IL","0","Fri 09.01"
"19","Allegheny","0","Oberlin","2","Fri 09.01"
"20","Cortland St","1","Rensselaer","1","Fri 09.01"
"21","Transylvania","3","Covenant","1","Fri 09.01"
"23","Crown MN","1","WI River Falls","8","Fri 09.01"
"24","Curry","1","Salve Regina","1","Fri 09.01"
"25","Eureka","0","Defiance","8","Fri 09.01"
"26","Denison","2","Alma","1","Fri 09.01"
"27","DePauw","10","Manchester","0","Fri 09.01"
"28","Dominican IL","2","Elmhurst","1","Fri 09.01"
"29","Wilmington OH","4","Earlham","2","Fri 09.01"
"30","Randolph Col","1","E Mennonite","0","Fri 09.01"
"31","E Connecticut","0","Mt Holyoke","1","Fri 09.01"
"32","Edgewood","3","Hamline","2","Fri 09.01"
"33","Husson","1","Emmanuel MA","0","Fri 09.01"
"34","Piedmont","0","Emory","7","Fri 09.01"
"35","Ramapo","2","FDU Madison","3","Fri 09.01"
"36","Mary Baldwin","1","Ferrum","4","Fri 09.01"
"37","Pitt-Greensburg","0","Franciscan OH","4","Fri 09.01"
"38","Berea","0","Franklin","3","Fri 09.01"
"39","SUNY Delhi","0","Geneva","2","Fri 09.01"
"40","Greensboro","1","Salisbury","2","Fri 09.01"
"41","Greenville","1","WI Eau Claire","3","Fri 09.01"
"42","Grinnell","2","Dubuque","0","Fri 09.01"
"44","Grove City","0","Lynchburg","1","Fri 09.01"
"45","Gwynedd-Mercy","5","PSU-Brandywine","0","Fri 09.01"
"46","Hanover","5","Asbury","0","Fri 09.01"
"47","Heidelberg","0","Hiram","0","Fri 09.01"
"48","Hendrix","2","Westminster MO","0","Fri 09.01"
"49","Salem NC","7","Hollins","0","Fri 09.01"
"50","Hope","3","Wartburg","1","Fri 09.01"
"51","Alfred St","1","Houghton","1","Fri 09.01"
"52","Huntingdon","0","Millsaps","3","Fri 09.01"
"53","Rhodes","4","Illinois Col","0","Fri 09.01"
"54","Elmira","1","Ithaca","10","Fri 09.01"
"55","Sewanee","0","Johns Hopkins","3","Fri 09.01"
"56","Babson","1","J&W RI","1","Fri 09.01"
"57","Westminster PA","2","Juniata","0","Fri 09.01"
"58","Ohio Wesleyan","1","Kalamazoo","1","Fri 09.01"
"59","Kean","0","McDaniel","1","Fri 09.01"
"60","Kenyon","2","Adrian","0","Fri 09.01"
"61","Keuka","0","Buffalo St","3","Fri 09.01"
"62","Knox","0","Millikin","5","Fri 09.01"
"63","Northland","0","Lakeland","5","Fri 09.01"
"65","Rosemont","0","Lancaster Bib","4","Fri 09.01"
"66","Concordia WI","1","Lawrence","0","Fri 09.01"
"67","Moravian","1","Lebanon Val","1","Fri 09.01"
"68","Northwest WA","2","Lewis & Clark","1","Fri 09.01"
"69","Lycoming","7","PSU-Altoona","0","Fri 09.01"
"70","Augustana IL","1","Principia","0","Fri 09.01"
"71","ME Farmington","0","RI College","0","Fri 09.01"
"72","S Maine Tech","1","ME Maritime","2","Fri 09.01"
"73","Aurora","0","Loras","6","Fri 09.01"
"74","Marian WI","0","S Maine","4","Fri 09.01"
"75","Le Tourneau","0","Austin Col","0","Fri 09.01"
"76","Martin Luther","0","Viterbo","9","Fri 09.01"
"77","M Hardin-Baylor","1","WI Whitewater","0","Fri 09.01"
"78","Randolph-Macon","0","Mary Washington","1","Fri 09.01"
"79","Maryville TN","3","Webster","1","Fri 09.01"
"80","MA Boston","1","Smith","1","Fri 09.01"
"81","Pfeiffer","0","Averett","3","Fri 09.01"
"82","Methodist","0","R Stockton","1","Fri 09.01"
"83","Susquehanna","1","Misericordia","3","Fri 09.01"
"84","Penn Col Tech","2","Mt Aloysius","2","Fri 09.01"
"86","Elizabethtown","1","Muhlenberg","2","Fri 09.01"
"87","Wash & Jeff","1","Muskingum","0","Fri 09.01"
"88","Nazareth","1","St Lawrence","1","Fri 09.01"
"89","Clark MA","2","Nichols","1","Fri 09.01"
"90","Bob Jones","2","NC Wesleyan","0","Fri 09.01"
"91","N Central IL","4","St Olaf","0","Fri 09.01"
"92","NVU-Johnson","0","Norwich","1","Fri 09.01"
"93","Gallaudet","0","Notre Dame MD","9","Fri 09.01"
"94","Agnes Scott","0","Oglethorpe","4","Fri 09.01"
"95","Bluffton","1","Otterbein","6","Fri 09.01"
"96","PSU-Berks","1","Wilkes","0","Fri 09.01"
"97","PSU-Harrisburg","1","Roanoke","0","Fri 09.01"
"98","PSU-Schuylkill","7","Valley Forge","0","Fri 09.01"
"99","Brevard","0","Berry","3","Fri 09.01"
"100","WI Lutheran","2","Ripon","0","Fri 09.01"
"101","Rivier","1","Fitchburg St","2","Fri 09.01"
"102","Rochester NY","3","Rochester Tech","0","Fri 09.01"
"103","Rockford","3","Blackburn","1","Fri 09.01"
"104","Bethany Luth","2","Buena Vista","0","Fri 09.01"
"105","Framingham St","0","Roger Williams","4","Fri 09.01"
"107","St Mary-Woods","2","Rose-Hulman","2","Fri 09.01"
"108","Neumann","0","Rutgers-Camden","3","Fri 09.01"
"109","St Benedict","0","WI LaCrosse","1","Fri 09.01"
"110","Bethel MN","5","Northwestern MN","0","Fri 09.01"
"111","Dickinson","5","St Mary's MD","0","Fri 09.01"
"112","St Mary's MN","6","MN Morris","0","Fri 09.01"
"113","St Vincent","0","Marietta","1","Fri 09.01"
"114","TX Lutheran","4","Schreiner","2","Fri 09.01"
"115","Shenandoah","3","Marymount VA","0","Fri 09.01"
"116","Brockport St","0","Skidmore","1","Fri 09.01"
"117","SW Univ TX","0","VA Wesleyan","1","Fri 09.01"
"118","St Thomas TX","1","E Texas Bap","1","Fri 09.01"
"119","U New England","5","St Joseph's ME","1","Fri 09.01"
"120","SUNY Canton","0","SUNY Potsdam","3","Fri 09.01"
"121","Catholic","2","Farmingdale","0","Fri 09.01"
"122","Hartwick","1","SUNY Oneonta","1","Fri 09.01"
"123","Thiel","0","La Roche","3","Fri 09.01"
