School, Location, Conference, Region, 
Adrian,"Adrian, MI",MIAA,Region VIII,
Agnes Scott,"Decatur, GA",CCS,Region VI,
Albertus Magnus,"New Haven, CT",GNAC,Region I,
Albion,"Albion, MI",MIAA,Region VIII,
Albright,"Reading, PA",MACC,Region V,
Alfred,"Alfred, NY",E8,Region III,
Alfred St,"Alfred, NY",AMCC,Region VII,
Allegheny,"Meadville, PA",PrAC,Region VII,
Alma,"Alma, MI",MIAA,Region VIII,
Alvernia,"Reading, PA",MACC,Region V,
Alverno,"Milwaukee, WI",NACC,Region VIII,
Amherst,"Amherst, MA",NESCAC,Region I,
Anderson IN,"Anderson, IN",HCAC,Region VII,
Anna Maria,"Paxton, MA",GNAC,Region I,
Arcadia,"Glenside, PA",MACF,Region IV,
Asbury,"Wilmore, KY",IND,Region VI,
Augsburg,"Minneapolis, MN",MIAC,Region IX,
Augustana IL,"Rock Island, IL",CCIW,Region VIII,
Aurora,"Aurora, IL",NACC,Region VIII,
Austin Col,"Sherman, TX",SCAC,Region X,
Averett,"Danville, VA",ODAC,Region VI,
Babson,"Babson Park, MA",NEWMAC,Region II,
Baldwin-Wallace,"Berea, OH",OAC,Region VII,
Bard,"Annandale-on-Hudson, NY",LL,Region III,
Bates,"Lewiston, ME",NESCAC,Region I,
Belhaven MS,"Jackson, MS",CCS,Region VI,
Beloit,"Beloit, WI",MWC,Region IX,
Benedictine IL,"Lisle, IL",NACC,Region VIII,
Berea,"Berea, KY",CCS,Region VI,
Berry,"Mount Berry, GA",SAA,Region VI,
Bethany Lutheran,"Mankato, MN",UMAC,Region IX,
Bethany WV,"Bethany, WV",PrAC,Region VII,
Bethel MN,"Arden Hills, MN",MIAC,Region IX,
Birmingham So,"Birmingham, AL",SAA,Region VI,
Blackburn,"Carlinville, IL",SLIAC,Region VIII,
Bluffton,"Bluffton, OH",HCAC,Region VII,
Bob Jones,"Greenville, SC",IND,Region VI,
Bowdoin,"Brunswick, ME",NESCAC,Region I,
Brandeis,"Waltham, MA",UAA,Region II,
Brevard,"Brevard, NC",USAC,Region VI,
Bridgewater MA,"Bridgewater, MA",MASCAC,Region II,
Bridgewater VA,"Bridgewater, VA",ODAC,Region VI,
Brockport St,"Brockport, NY",SUNYAC,Region III,
Brooklyn Col,"Brooklyn, NY",CUNYAC,Region IV,
Bryn Athyn,"Bryn Athyn, PA",UEC,Region IV,
Bryn Mawr,"Bryn Mawr, PA",CC,Region V,
Buena Vista,"Storm Lake, IA",ARC,Region IX,
Buffalo St,"Buffalo, NY",SUNYAC,Region III,
Cabrini,"Radnor, PA",AEC,Region V,
Cairn,"Langhorne, PA",UEC,Region IV,
Cal Lutheran,"Thousand Oaks, CA",SCIAC,Region X,
Caltech,"Pasadena, CA",SCIAC,Region X,
Calvin,"Grand Rapids, MI",MIAA,Region VIII,
Capital,"Columbus, OH",OAC,Region VII,
Carleton MN,"Northfield, MN",MIAC,Region IX,
Carlow,"Pittsburgh, PA",AMCC,Region VII,
Carnegie Mellon,"Pittsburgh, PA",UAA,Region VII,
Carroll WI,"Waukesha, WI",CCIW,Region VIII,
Carthage,"Kenosha, WI",CCIW,Region VIII,
Case Western,"Cleveland, OH",UAA,Region VII,
Castleton,"Castleton, VT",LEC,Region I,
Catholic,"Washington, DC",LAND,Region V,
Cedar Crest,"Allentown, PA",UEC,Region IV,
