away_team,away_score,home_team,home_score,date,Row
Alfred,0,Geneseo St,2,Fri 09.01,1
Cortland St,1,Rensselaer,1,Fri 09.01,2
Elmira,1,Ithaca,10,Fri 09.01,3
Keuka,0,Buffalo St,3,Fri 09.01,4
Nazareth,1,St Lawrence,1,Fri 09.01,5
Brockport St,0,Skidmore,1,Fri 09.01,7
Hartwick,1,Suny Oneonta,1,Fri 09.01,8
Russell Sage,0,Suny New Paltz,2,Fri 09.01,10
Nazareth,0,Clarkson,3,Sat 09.02,12
Buffalo St,2,Houghton,1,Sat 09.02,13
St John Fisher,1,Skidmore,1,Sat 09.02,14
Plattsburgh St,3,Rochester Tech,1,Sun 09.03,15
Suny New Paltz,1,Rensselaer,2,Sun 09.03,16
Alfred,1,Suny Oneonta,4,Tue 09.05,19
Brockport St,1,St John Fisher,0,Tue 09.05,21
St Lawrence,0,Suny Potsdam,1,Tue 09.05,22
Geneseo St,1,Hobart & Smith,2,Wed 09.06,23
Keuka,0,Brockport St,3,Thu 09.07,27
Utica,0,Oswego St,1,Fri 09.08,29
St John Fisher,0,Geneseo St,2,Sat 09.09,30
Houghton,0,Brockport St,6,Sat 09.09,31
Rensselaer,2,Plattsburgh St,2,Sat 09.09,32
Suny Potsdam,0,Skidmore,1,Sat 09.09,33
Utica,0,Suny Fredonia,2,Sat 09.09,34
Alfred,1,Suny Fredonia,1,Tue 09.12,37
Suny Potsdam,0,Utica,1,Tue 09.12,38
Ithaca,0,Cortland St,1,Wed 09.13,40
Geneseo St,0,Nazareth,0,Wed 09.13,42
Plattsburgh St,0,Skidmore,1,Wed 09.13,43
Suny Oneonta,1,Union NY,1,Wed 09.13,45
St John Fisher,2,Rochester Tech,1,Wed 09.13,46
Union NY,1,Utica,2,Fri 09.15,47
Cortland St,0,Clarkson,1,Sat 09.16,48
St John Fisher,1,Alfred,1,Sat 09.16,49
Rochester Tech,1,Geneseo St,2,Sat 09.16,50
Elmira,0,Houghton,1,Sat 09.16,51
Nazareth,0,Ithaca,2,Sat 09.16,52
Hartwick,0,Keuka,2,Sat 09.16,53
Suny Potsdam,0,Suny Oneonta,2,Sat 09.16,56
St Lawrence,0,Oswego St,0,Sat 09.16,57
Oswego St,1,Keuka,0,Tue 09.19,59
St Lawrence,2,Union NY,0,Tue 09.19,60
Skidmore,0,Clarkson,2,Wed 09.20,61
Geneseo St,2,Suny Fredonia,0,Wed 09.20,62
Hobart & Smith,1,Rochester Tech,1,Wed 09.20,63
Plattsburgh St,0,Suny Potsdam,0,Wed 09.20,64
Brockport St,2,Buffalo St,0,Wed 09.20,66
Rochester Tech,1,Clarkson,0,Sat 09.23,72
Alfred,2,Utica,2,Sat 09.23,73
Suny Fredonia,0,Cortland St,7,Sat 09.23,74
Geneseo St,0,Suny Oneonta,0,Sat 09.23,75
Skidmore,1,Hobart & Smith,1,Sat 09.23,76
Ithaca,4,Bard,0,Sat 09.23,77
Keuka,0,Russell Sage,1,Sat 09.23,78
Hartwick,1,Nazareth,1,Sat 09.23,79
Brockport St,0,Plattsburgh St,0,Sat 09.23,80
Buffalo St,0,Suny New Paltz,9,Sat 09.23,82
St Lawrence,0,Rensselaer,0,Sat 09.23,84
Union NY,0,Vassar,0,Sat 09.23,85
Oswego St,0,Suny Potsdam,0,Sat 09.23,87
Cortland St,2,Suny Potsdam,0,Wed 09.27,95
Ithaca,0,Hobart & Smith,1,Wed 09.27,96
Nazareth,1,Houghton,0,Wed 09.27,97
Suny New Paltz,2,Plattsburgh St,0,Wed 09.27,98
Utica,1,Hartwick,1,Wed 09.27,99
Oswego St,1,Brockport St,0,Wed 09.27,100
Buffalo St,2,Suny Fredonia,7,Wed 09.27,101
Russell Sage,1,Elmira,0,Wed 09.27,102
Vassar,0,Bard,0,Wed 09.27,103
Clarkson,0,Hobart & Smith,3,Sat 09.30,104
Alfred,0,Russell Sage,0,Sat 09.30,105
Cortland St,0,Buffalo St,0,Sat 09.30,106
Suny New Paltz,1,Geneseo St,1,Sat 09.30,107
Houghton,0,Utica,3,Sat 09.30,108
Ithaca,2,St Lawrence,0,Sat 09.30,109
Keuka,0,Nazareth,6,Sat 09.30,110
Plattsburgh St,1,Oswego St,0,Sat 09.30,111
Vassar,2,Skidmore,1,Sat 09.30,112
Suny Oneonta,0,Brockport St,1,Sat 09.30,114
Elmira,0,St John Fisher,1,Sat 09.30,115
Rochester Tech,7,Bard,0,Sat 09.30,117
Rensselaer,0,Union NY,2,Sat 09.30,118
Suny Potsdam,0,Suny Fredonia,4,Sat 09.30,119
Rochester Tech,1,Nazareth,1,Tue 10.03,124
Skidmore,2,Hartwick,0,Tue 10.03,125
Bard,0,Rensselaer,4,Tue 10.03,126
Alfred,0,Brockport St,3,Wed 10.04,127
Cortland St,3,Suny Oneonta,2,Wed 10.04,128
Buffalo St,0,Geneseo St,0,Wed 10.04,129
Keuka,2,St John Fisher,5,Wed 10.04,130
St Lawrence,3,Plattsburgh St,1,Wed 10.04,131
Utica,1,Elmira,0,Wed 10.04,133
Vassar,2,Russell Sage,1,Wed 10.04,137
Suny Potsdam,0,Suny New Paltz,5,Wed 10.04,138
Suny Fredonia,2,Oswego St,2,Wed 10.04,139
Clarkson,0,Ithaca,1,Sat 10.07,141
Geneseo St,0,Cortland St,0,Sat 10.07,142
Russell Sage,0,Houghton,1,Sat 10.07,143
Utica,5,Keuka,1,Sat 10.07,144
Nazareth,2,Elmira,0,Sat 10.07,145
Suny Fredonia,0,Plattsburgh St,1,Sat 10.07,146
Skidmore,0,Rensselaer,2,Sat 10.07,147
Oswego St,2,Suny Oneonta,0,Sat 10.07,148
Brockport St,2,Suny New Paltz,2,Sat 10.07,149
Buffalo St,0,Suny Potsdam,5,Sat 10.07,150
St Lawrence,0,Rochester Tech,2,Sat 10.07,152
Bard,0,Union NY,3,Sat 10.07,153
St John Fisher,2,Hartwick,2,Sat 10.07,155
Alfred,2,Keuka,0,Wed 10.11,164
Plattsburgh St,1,Cortland St,1,Wed 10.11,165
