"home_team","home_score","away_team","away_score","Date"
"Union NY",0,"St Lawrence",2,"Tue 09.19"
"Clarkson",2,"Skidmore",0,"Wed 09.20"
"Rochester Tech",1,"Hobart & Smith",1,"Wed 09.20"
"Clarkson",0,"Rochester Tech",1,"Sat 09.23"
"Hobart & Smith",1,"Skidmore",1,"Sat 09.23"
"Bard",0,"Ithaca",4,"Sat 09.23"
"Rensselaer",0,"St Lawrence",0,"Sat 09.23"
"Vassar",0,"Union NY",0,"Sat 09.23"
"Hobart & Smith",1,"Ithaca",0,"Wed 09.27"
"Bard",0,"Vassar",0,"Wed 09.27"
"Hobart & Smith",3,"Clarkson",0,"Sat 09.30"
"St Lawrence",0,"Ithaca",2,"Sat 09.30"
"Skidmore",1,"Vassar",2,"Sat 09.30"
"Bard",0,"Rochester Tech",7,"Sat 09.30"
"Union NY",2,"Rensselaer",0,"Sat 09.30"
"Rensselaer",4,"Bard",0,"Tue 10.03"
"Ithaca",1,"Clarkson",0,"Sat 10.07"
"Rensselaer",2,"Skidmore",0,"Sat 10.07"
"Rochester Tech",2,"St Lawrence",0,"Sat 10.07"
"Union NY",3,"Bard",0,"Sat 10.07"
"Hobart & Smith",3,"Rensselaer",0,"Fri 10.13"
"Rochester Tech",1,"Skidmore",1,"Fri 10.13"
"Clarkson",3,"Bard",1,"Fri 10.13"
"St Lawrence",1,"Vassar",0,"Fri 10.13"
"Ithaca",1,"Union NY",0,"Fri 10.13"
"Clarkson",0,"Vassar",1,"Sat 10.14"
"Ithaca",1,"Skidmore",0,"Sat 10.14"
"St Lawrence",2,"Bard",0,"Sat 10.14"
"Rochester Tech",2,"Rensselaer",0,"Sat 10.14"
"Hobart & Smith",2,"Union NY",0,"Sat 10.14"
"Rensselaer",0,"Clarkson",2,"Sat 10.21"
"Bard",0,"Hobart & Smith",3,"Sat 10.21"
"Ithaca",0,"Vassar",0,"Sat 10.21"
"Skidmore",0,"St Lawrence",0,"Sat 10.21"
"Union NY",1,"Rochester Tech",3,"Sat 10.21"
"Vassar",0,"Hobart & Smith",0,"Sun 10.22"
"St Lawrence",0,"Clarkson",2,"Tue 10.24"
"Ithaca",0,"Rochester Tech",0,"Tue 10.24"
"Vassar",0,"Rensselaer",1,"Wed 10.25"
"Skidmore",1,"Union NY",1,"Wed 10.25"
"St Lawrence",0,"Hobart & Smith",6,"Sat 10.28"
"Rensselaer",2,"Ithaca",2,"Sat 10.28"
"Skidmore",5,"Bard",0,"Sat 10.28"
"Union NY",1,"Clarkson",2,"Sat 10.28"
"Vassar",0,"Rochester Tech",0,"Sat 10.28"

